intent,snippet
can't figure out how to tie the input key to a function in tkinter,root.mainloop()
make thread find executable git in windows,"proc = subprocess.Popen(['git', 'status'], stdout=subprocess.PIPE)"
how to check if all the items in the list are none?,not any(my_list)
how do i get the list of names used in a format string?,get_format_vars('hello %(foo)s  there %(bar)s')
"set columns `['race_date', 'track_code', 'race_number']` as dataframe indices `rdata'","rdata.set_index(['race_date', 'track_code', 'race_number'])"
check if the key'stackoverflow' and the key 'google' are presented in the dictionary `sites',"set(['stackoverflow', 'google']).issubset(sites)"
pandas python filtering nan from string column data selection,nms.dropna(thresh=2)
the correct way to implement the cherrypy self-loading module,cherrypy.quickstart(Root())
pitonic form to assign the parameter in the attribute?,"setattr(self, k, v)"
get the second to last item from the list `some_list`,some_list[(-2)]
create a list containing elements from the list `list` that are determinants of the function `f ',[f(x) for x in list]
print a digit `your_number` with exactly 2 digits after the decimal,print('{0:.2f}'.format(your_number))
sort list `mylist` alphabetically,mylist.sort(key=lambda x: x.lower())
python byte chain encode and decode,"""""""foo"""""".decode('latin-1')"
"python: how to ""forge"" a session in django","return render(request, 'organisation/wall_post.html', {'form': form})"
how to obtain an arbitrary element from a frozen set?,"[random.sample(s, 1)[0] for _ in range(10)]"
drop column based on chain condition,"df.drop(df.columns[df.columns.str.match('chair')], axis=1)"
add zeros to strings in pandas data frame,df['ID'] = df['ID'].apply(lambda x: '{0:0>15}'.format(x))
sunflower scatter plot using matplotlib,"plt.scatter(np.random.randn(100), np.random.randn(100), facecolors='none') "
get a list of the keys in each dictionary in a dictionary `foo`,[k for d in list(foo.values()) for k in d]
order dictionary `mydict` in descending order based on the sum of each value in it,"sorted(iter(mydict.items()), key=lambda tup: sum(tup[1]), reverse=True)[:3]"
circular reference of the django model,team = models.ForeignKey('Team')
matches the pattern '[:;[]()](?![()])' to the string'str',"re.match('[:;][)(](?![)(])', str)"
"add the row ‘['8/19/2014', 'jun', 'fly', '98765']’ to the data frame ‘df’","df.loc[len(df)] = ['8/19/2014', 'Jun', 'Fly', '98765']"
matplotlib: date format on the x-axis on a 3d bar chart,plt.show()
piton - how to calculate equal parts of two dictionaries?,"d3 = {k: list(set(d1.get(k, [])).intersection(v)) for k, v in list(d2.items())}"
"round number 1,005 to 2 decimal places","round(1.005, 2)"
algorithm pls-da in python,mypred = myplsda.predict(Xdata)
"set the axis range and to `0, 1000` in subplot using pylab","pylab.ylim([0, 1000])"
tracing categorical data with pandas and matplotlib,df.colour.value_counts().plot(kind='bar')
using python to extract the dictionary keys within the list,names = [item['name'] for item in data]
how to sort the panda data frame using multi-column values?,"df.sort(['c1', 'c2'], ascending=[False, True])"
how can i get the week before in python?,"start_delta = datetime.timedelta(days=weekday, weeks=1)"
generate a random number of 12 digits,"int(''.join(str(random.randint(0, 9)) for _ in range(12)))"
functional statement in python to return the sum of certain lists in a list of lists,sum(len(y) for y in x if len(y) > 1)
set run bit for a file using python,"os.chmod('my_script.sh', 484)"
convert hexagon string `hexstring` to int,"int(hexString, 16)"
multiple data set plot with matplotlib.pyplot.plot_date,plt.show()
run python code `myscript.py` in a virtualenv `/path/to/my/venv` of matlab,system('/path/to/my/venv/bin/python myscript.py')
python: find on the list,"[i for i, x in enumerate([1, 2, 3, 2]) if x == 2]"
the python implementation of jenkins hash?,"hash, hash2 = hashlittle2(hashstr, 3735928559, 3735928559)"
if/else statements accepting uppercase and lowercase strings in python,"""""""3"""""".lower()"
"python: create a ""con"" block in multiple context managers",do_something()
"add the variable ""var"" to the key ""f"" of the first element in the data json ""data"".",data[0]['f'] = var
how to initialize a two-dimensional matrix in python?,[[Foo() for x in range(10)] for y in range(10)]
single string `s` decode in a readable literal unicode,s.decode('unicode_escape')
convert binary chain '11111111' to integer,"int('11111111', 2)"
fix the color on the scatter plots in matplotlib,plt.show()
python pandas dataframe cut by date conditions,df.sort_index()
pandas python - how to flatten a hierarchical index in columns,df.columns = df.columns.get_level_values(0)
expanding nuppy matrix over extra dimension,"np.tile(b, (2, 2, 2))"
pandas python: replace multiple column values that match multiple columns from another dataframe,"df2.rename(columns={'OCHR': 'chr', 'OSTOP': 'pos'}, inplace=True)"
find the index of elements based on a condition using the understanding of the python list,a[:] = [x for x in a if x <= 2]
convert chain to tuple,"print([(x[0], x[-1]) for x in l])"
smarter way to join two lists in a formatted string,"c = ', '.join('%s=%s' % t for t in zip(a, b))"
dynamic updating of the plot in matplotlib,plt.draw()
replace values that rarely occur in a pandas data frame,g = df.groupby('column_name')
nuppy `logic_or` for more than two arguments,"np.logical_or.reduce((x, y, z))"
python: sort a series of dictionaries with custom comparator?,"key = lambda d: (not 'rank' in d, d['rank'])"
wait for shell command `p` evoked by subprocess.popen to complete,p.wait()
obtain the sum of the products of each pair of corresponding items in the lists `a` and `b`,"sum(x * y for x, y in zip(a, b))"
how to replace values with none in panda data frame in python?,"df.replace('-', np.nan)"
how to join components of a path when building a url in python,"urlparse.urljoin('/media/', 'js/foo.js')"
python - how to format the variable number of arguments in a string?,"function_in_library('Hello %s' % ', '.join(['%s'] * len(my_args)), my_args)"
iterate through the words of the python file,words = open('myfile').read().split()
get the common prefix to compare two absolute routes '/usr/var' and '/usr/var2/log',"os.path.commonprefix(['/usr/var', '/usr/var2/log'])"
"a stylish way to create a dictionary of pairs, from a list of tuples?",dict(x[1:] for x in reversed(myListOfTuples))
remove all items that occur in one list from another,l3 = [x for x in l1 if x not in l2]
create new columns in pandas from nested lists of python,"df.A.apply(lambda x: pd.Series(1, x)).fillna(0).astype(int)"
how to sort the list according to the length of the sublists,"sorted(a, key=len)"
print the current date and time in a regular format,time.strftime('%Y-%m-%d %H:%M')
regex to separate numeric from alpha,"re.findall('(\\d+|[a-zA-Z]+)', '12fgsdfg234jhfq35rjg')"
confused with the use of regex in python,"re.findall('[a-z]*', '123456789')"
python int to binary?,bin(10)
python get a value list from the dict list,[d['value'] for d in l]
filter objects wise month in django model `sample` for year `2011`,"Sample.objects.filter(date__year='2011', date__month='01')"
how to flatten a pandas data frame with some columns like json?,"df[['id', 'name']].join([A, B])"
order list of tuples by reordering tuples,"sorted(A, key=operator.itemgetter(2, 0, 1))"
encode 'u'x\xc3\xbcy\xc3\x9f`` as unicode and decode with utf-8,'X\xc3\xbcY\xc3\x9f'.encode('raw_unicode_escape').decode('utf-8')
how to create csr_matrix ratings in scipy?,"scipy.sparse.csr_matrix([column['rating'], column['user'], column['movie']])"
find dictionary items whose key matches a substring,"[value for key, value in list(programs.items()) if 'new york' in key.lower()]"
how to iterate through a list of tuples containing three pairs of values?,"[(1, 'B', 'A'), (2, 'C', 'B'), (3, 'C', 'A')]"
print numbers rounding up to the third decimal place,print('%.3f' % 3.1415)
how to make the perason correlation of the selected columns of a pandas data frame,"df.corr().iloc[:-1, (-1)]"
"artist matplotlib to stay the same size when approaching, but also move with panning?",plt.show()
"convert a string of numbers `example_string` separated by `,` into a list of integers","map(int, example_string.split(','))"
how to create a dictionary using two lists in python?,"dict(zip(x, y))"
add to 'test1' file content 'koko',"with open('test1', 'ab') as f:
    pass"
that executes the python code contained in the string,print('hello')
remove newline in the string `s` on the left side,s.lstrip()
most of the pitonic way of converting a list of tuples,zip(*list_of_tuples)
extract only characters from the python string,""""""" """""".join(re.split('[^a-zA-Z]*', 'your string'))"
how to use the mv command in python with thread,"subprocess.call(['mv', '/home/somedir/subdir/*', 'somedir/'])"
string split 'foxizbar' based on case-insensitive matching using string 'xyz',"re.compile('XYZ', re.IGNORECASE).split('fooxyzbar')"
remove duplicates from the list of 'l' sets,[set(item) for item in set(frozenset(item) for item in L)]
selecting data between specific hours in the pandas data frame,df_new = df[(df['time'] > start_time) & (df['time'] < end_time)]
regex to get the list of all words with specific letters (grafemes unicode),"print(' '.join(get_words(['k', 'c', 't', 'a'])))"
language to flatten a shallow nest list: how does it work?,[x for y in l for x in y]
python regex to match names not ascii,"regexRef = re.compile('\\w', re.UNICODE)"
matches zero or more instances of lowercase alphabet characters in a string `f233op `,"re.findall('([a-z]*)', 'f233op')"
numpy: check if the 'a' matrix contains all the numbers in the 'b' matrix.,numpy.array([(x in a) for x in b])
using headers with the python request library get method,"r = requests.get('http://www.example.com/', headers={'content-type': 'text'})"
python: get rid of \u200b of a string using regular expressions,"'used\u200b'.replace('\u200b', '*')"
regular expression to return all characters between two special characters,match.group(1)
confusion of the flask with the application,app = Flask(__name__)
python: test whether the value can be converted to an int in understanding the list,[row for row in listOfLists if row[x].isdigit()]
how can i make a backup and restore mongodb by using pymongo?,db.col.find({'price': {'$lt': 100}})
how to create a list with the characters of a string?,"['5', '+', '6']"
how to continue a task when the fabric receives an error,sudo('rm tmp')
keep subplot in matplotlib,fig.savefig('full_figure.png')
the json query that returns the data of the parent and child element?,"dict((k, v['_status']['md5']) for k, v in list(json_result.items()))"
get list item by attribute in python,items = [item for item in container if item.attribute == value]
find a specific label with beautifulsoup,"soup.findAll('div', style='width=300px;')"
how to set the length of the shaft unit in matplotlib?,plt.show()
sort list of mixed strings based on digits,"sorted(l, key=lambda x: int(re.search('\\d+', x).group(0)))"
"check url status code ""http://www.stackoverflow.com""",urllib.request.urlopen('http://www.stackoverflow.com').getcode()
is there a python equivalent to the interpolation of ruby strings?,"""""""my {0} string: {1}"""""".format('cool', 'Hello there!')"
unpack first and second bytes of byte chain `ps` in whole,"struct.unpack('h', pS[0:2])"
remove the two elements from the list of tuples,[x[1] for x in elements]
"convert a list with string `['1', '2', '3'` into a list with integers","map(int, ['1', '2', '3'])"
intersection of 2d and 1d nuppy matrix,"A[:, 3:].flat[np.in1d(A[:, 3:], B)] = 0"
generate 6 random numbers between 1 and 50,"random.sample(range(1, 50), 6)"
python - how to format the variable number of arguments in a string?,"'Hello %s' % ', '.join(map(str, my_args))"
get keys with the same value in the dictionary `d`,print([key for key in d if d[key] == 1])
code to detect all words starting with a capital letter in a string,print([word for word in words if word[0].isupper()])
passing the '+' character in a python post request,"f = urllib.request.urlopen(url, urllib.parse.unquote(urllib.parse.urlencode(params)))"
find numpy matrix rows containing any of the list,"np.in1d(a, b).reshape(a.shape).any(axis=1)"
confused with the use of regex in python,"re.findall('([a-z])*', 'f233op')"
create list of the dictionary python,"[{'data': 2}, {'data': 2}, {'data': 2}]"
merge 'word' column in dataframe `df2` with 'word' column in dataframe `df1',"df1.merge(df2, how='left', on='word')"
subtracts 1 hour and 10 minutes from the current time,"t = datetime.datetime.now()
(t - datetime.timedelta(hours=1, minutes=10))"
make tkinter widget take focus,root.mainloop()
how to get the current instance of the inlineadmin model in django,"return super(MyModelAdmin, self).get_form(request, obj, **kwargs)"
get the function docstring,help(my_func)
post json a python cgi,print(json.dumps(result))
read pandas data frame csv `comma.csv` with additional commas in column specifying string delimiter `'`,"df = pd.read_csv('comma.csv', quotechar=""'"")"
how to draw the line within the scatter plot,ax.set_ylabel('TPR or sensitivity')
passing javascript variable to server (django),document.getElementById('geolocation').submit()
regenerate random vector in python,"np.random.normal(0, 1, (100, 3))"
how can i cut each element of a string matrix?,"a.view('U1').reshape(4, -1)[:, 1:3]"
join elements of each tuple in the list `a` in a string,[''.join(x) for x in a]
divide nuppy matrix based on value,zeros = np.where(a == 0)[0]
"how to duplicate rows in pandas, based on items from a list",df['data'] = df['data'].apply(clean_string_to_list)
light canvas tkinter `canvas`,canvas.delete('all')
python zip load with memory modules,zipfile.ZipFile(zipbytes)
what is the most efficient way to remove a group of indexes from a list of numbers in python 2.7?,return [numbers[i] for i in range(len(numbers)) if i not in indices]
reshape pandas data frame from rows to columns,df2.groupby('Name').apply(tgrp)
how can i convert a hexadecimal value chain to a list of integers?,"struct.unpack('11B', s)"
read rinex gps data with pandas,"df.set_index(['%_GPST', 'satID'])"
"search for ""no-contains"" in a pandas data frame",~df['col'].str.contains(word)
pitonic form to convert the list of dictations into the list of namedtuples,"items = [some(m['a'].split(), m['d'], m['n']) for m in dl]"
remove the labels from the string `mistring`,"re.sub('<[^>]*>', '', mystring)"
how can i format exceptional stacktraces in the python registry?,logging.info('Sample message')
how can i create a list of unique random numbers?,"random.sample(list(range(100)), 10)"
delete digits at the end of the string `s`,"re.sub('\\b\\d+\\b', '', s)"
"in python, how to index a list with another list?",T = [L[i] for i in Idx]
get values from a dictionary `my_dict` whose key contains the `date` string,"[v for k, v in list(my_dict.items()) if 'Date' in k]"
"using maps of the flask, how to fix url_for to break if a subdomain is specified?",app.config['SERVER_NAME'] = 'example.net'
python is added to the matrix in the json object,jsobj['a']['b']['e'].append(dict(f=var3))
find the euclidean distance between two 3-d `a` and `b` arrays,np.sqrt(((A - B) ** 2).sum(-1))
piton: confusion with urljoin,"urljoin('http://some', 'thing')"
==understanding==applied to a nuppy matrix,np.arange(3)
capitalization of words not ascii in python,print('\xe9'.capitalize())
sorting a `d` defect by value,"sorted(list(d.items()), key=lambda k_v: k_v[1])"
how to compare dates in django,return date.today() > self.date
run shell script from python with variable,"subprocess.call(['test.sh', str(domid)])"
convert a date string `s` to a datetime object,"datetime.datetime.strptime(s, '%Y-%m-%dT%H:%M:%SZ')"
how can i create a web interface to a simple python script?,app.run()
stacked bar table with different colors sorted using matplotlib,plt.show()
matplotlib boxplot without atypicals,"boxplot([1, 2, 3, 4, 5, 10], showfliers=False)"
"generate all permutations from the list `1, 2, 3` and the list `[4, 5, 6] '","print(list(itertools.product([1, 2, 3], [4, 5, 6])))"
python dictionary for url parameters,"urllib.parse.urlencode({'p': [1, 2, 3]}, doseq=True)"
how to group dataframe for a period of time?,"df.groupby([df['Source'], pd.TimeGrouper(freq='Min')])"
"get items from a dictionary `bigdict` where keys are present in `('l','m', 'n') '","{k: bigdict.get(k, None) for k in ('l', 'm', 'n')}"
selection of python dictionary elements greater than a given value,"{k: v for k, v in list(dict.items()) if v > something}"
how to write a multidimensional array to a text file?,"np.savetxt('test.txt', x)"
remove strings from the list containing numbers in python,my_list = [item for item in my_list if item.isalpha()]
for loop in python,"list(range(0, 30, 5))"
extract all the keys from the list of dictionaries,[list(d.keys()) for d in LoD]
"how to cut a 2d python matrix? fails with: ""typeror: list indexes must be integers, not tuples""","array([[1, 3], [4, 6], [7, 9]])"
python: convert the list of key value tuples into dictionary?,"dict([('A', 1), ('B', 2), ('C', 3)])"
matplotlib large set of colors for plots,plt.show()
"check if a user is in a group in the list of groups `['group1', 'group2'] '","return user.groups.filter(name__in=['group1', 'group2']).exists()"
how can i merge a 2d matrix into python into a string with the understanding of the list?,[item for innerlist in outerlist for item in innerlist]
phython regex alternative for bonding,"re.sub('(.)(?=.)', '\\1-', s)"
filtering strings containing 'ab' from a list of 'lst' strings,[k for k in lst if 'ab' in k]
"how to draw ""two wide directions line"" in matplotlib",plt.show()
write hexadecimal data in a file,f.write(hex(i))
how to end the python process using pid?,process.terminate()
write a list of sentences to a single column in csv with python,"writer.writerows(['Hi, there'])"
the dictionary keys match the list; get the key/value pair,new_dict = {k: my_dict[k] for k in my_list if k in my_dict}
regex chain two python misalignments,"re.findall('(?=([A-Z]SQP|S[A-Z]QP|SS[A-Z]P|SSQ[A-Z]))', s)"
find max in nested dictionary,"max(d, key=lambda x: d[x]['count'])"
how to update the imshow() window of matplotlib interactively?,draw()
break string in list elements based on keywords,"['Na', '1', 'H', '1', 'C', '2', 'H', '3', 'O', '2']"
select dataframe rows between two dates,df['date'] = pd.to_datetime(df['date'])
escape the quotes in the chain,"replace('""', '\\""')"
create dynamic button in pyqt,button.clicked.connect(self.commander(command))
pandas: counting unique values in the data frame,"pd.value_counts(d[['col_title1', 'col_title2']].values.ravel())"
efficient way to convert a list to the dictionary,"{k: v for k, v in (e.split(':') for e in lis)}"
how to plot empirical cdf in matplotlib in python?,plt.show()
gnuplot linecolor variable in matplotlib?,plt.show()
how to run spark java code in airflow?,"sys.path.append(os.path.join(os.environ['SPARK_HOME'], 'bin'))"
parsing json fields in python,print(b['indices']['client_ind_2']['index'])
how do i connect to a mysql database in python?,cur.execute('SELECT * FROM YOUR_TABLE_NAME')
"remove the characters ""!"" from the string `line`","line.translate(None, '!@#$')"
list of files in a directory that uses glob python,glob.glob('[!hello]*.txt')
to find the index of the element with the maximum value of a list 'a'.,"max(enumerate(a), key=lambda x: x[1])[0]"
upload files for google cloud storage from appengine app,"upload_url = blobstore.create_upload_url('/upload', gs_bucket_name='my_bucket')"
how can i list only folders in zip file in python?,[x for x in file.namelist() if x.endswith('/')]
how is a flask application established with sqlalchemy for testing?,app.run()
match retex 'abc(de)fg(123)' in the string 'abcdefg123 and again abcdefg123',"re.findall('abc(de)fg(123)', 'abcdefg123 and again abcdefg123')"
python + mysqldb executionmany,cursor.close()
create a list iterating about a dictionary,"['{}_{}'.format(k, v) for k, l in list(d.items()) for v in l]"
remove newline in the chain `s` on the right side,s.rstrip()
how can i insert a new label into a beautifulsoup object?,"self.new_soup.body.insert(3, new_tag)"
how can i vectorize the average of 2x2 nuppy matrix sub-arrays?,"y.mean(axis=(1, 3))"
get only certain related object fields in django,"Comment.objects.filter(user=user).values_list('user__name', 'user__email')"
more efficient method to obtain the key for similar values in the dict,"trie = {'a': {'b': {'e': {}, 's': {}}, 'c': {'t': {}, 'k': {}}}}"
"how to make a python script that can logoff, turn off, and restart a computer?","subprocess.call(['shutdown', '/r'])"
how to do a simple redirecting http using python?,print('Location:URL\r\n')
python date string format,my_date.strftime('%-m/%-d/%y')
how to hide the output of the thread in python 2.7,"retcode = os.system(""echo 'foo' &> /dev/null"")"
how to check if a method exists in python?,"hasattr(Dynamo, 'mymethod') and callable(getattr(Dynamo, 'mymethod'))"
convert double to float to python,"struct.unpack('f', struct.pack('f', 0.00582811585976))"
efficient way to convert a list to the dictionary,dict([x.split(':') for x in a])
how to eliminate gaps between subplots in matplotlib?,plt.show()
delete an item `key` from a dictionary `d`,del d[key]
read a triangle of numbers in a 2d matrix of ints in python,arr = [[int(i) for i in line.split()] for line in open('input.txt')]
extract the 'bar' data field from the json object,"json.loads('{""foo"": 42, ""bar"": ""baz""}')['bar']"
pandas create a new column based on values of other columns,"df.apply(lambda row: label_race(row), axis=1)"
editing the date format of x-axis tick tags in matplotlib,ax.xaxis.set_major_formatter(myFmt)
create a list of integers with duplicate values in python,"print([u for v in [[i, i] for i in range(5)] for u in v])"
select `div` tags whose `id`s start with `value_xxx_c_1_f_8_a_`,"soup.select('div[id^=""value_xxx_c_1_f_8_a_""]')"
how can i order a list of strings in python?,mylist.sort(key=str.lower)
invert string `a` by 2 characters at a time,""""""""""""".join(reversed([a[i:i + 2] for i in range(0, len(a), 2)]))"
"slice `url` with'&' as a delimiter to obtain ""http://www.domainname.com/page?content_item_id=1234"" from url ""http://www.domainname.com/page?content_item_id=1234&param2&param3 """,url.split('&')
count the occurrence of character in the chain,"""""""Mary had a little lamb"""""".count('a')"
how can i show the model in tabular format in admin django?,"{'fields': ('first_name', 'last_name', 'address', 'city', 'state')}"
how to order with lambda in python,"a = sorted(a, key=lambda x: x.modified, reverse=True)"
obtain pairs of key values in the dictionary `my_dictionary` for all keys in the list `my_list` in the order in which they appear in `my_list`,"dict(zip(my_list, map(my_dictionary.get, my_list)))"
"is it possible to take an orderly ""cut"" from the piton dictionary based on the list of keys?","map(my_dictionary.get, my_list)"
the best way to remove the score from the rope in python,"s.translate(None, string.punctuation)"
how to analyze dates with -0400 time zone string in python?,"datetime.strptime('2009/05/13 19:19:30 -0400', '%Y/%m/%d %H:%M:%S %z')"
adds a list of numbers in python,sum(Decimal(i) for i in a)
pandas to duplicate a line to fill dataframe,newsampledata.reindex(newsampledata.index.repeat(n)).reset_index(drop=True)
adding the string to the list,b.append(c)
pandas: the best way to select all columns from x,df.columns.map(lambda x: x.startswith('foo'))
how to cut the polar plot in pylab/pyplot,plt.show()
is it possible to tune parameters with the grid search for custom kernels in scikit-learn?,"model.fit(X_train, y_train)"
how to make a histogram of registration in python,plt.show()
how do you get the current content of the text from a qcombobox?,text = str(combobox1.currentText())
how to make python-format floats with a certain amount of significant digits?,"""""""{0:.6g}"""""".format(3.539)"
is there a way to suppress the impression that is made within a unit test?,unittest.main()
python: how to sort a list of dictionaries by various values?,"sorted(A, key=itemgetter('name', 'age'))"
"in python, how to show the current time in readable format","time.strftime('%l:%M%p %z on %b %d, %Y')"
"extract the elements in the indexes (1, 2, 5) from the list `a`","[a[i] for i in (1, 2, 5)]"
for loop in python,"list(range(1, 11))"
how to extract tuple values in the panda data frame for the use of matplotlib?,"pd.pivot(index=df['B1'], columns=df.index, values=df['B2']).plot()"
count the number of true values associated with the key'success' in the dictionary `d`,sum(1 if d['success'] else 0 for d in s)
how can i read the first line of a chain?,"my_string.split('\n', 1)[0]"
create link to a matraz application url in jinja2 template,"{{url_for('static', filename='[filenameofstaticfile]')}}"
how are permissions (attributes) set in a file in a zip file using the python zipfile module?,"zipfile.writestr(zipinfo, '')"
how to get a list of all integer points in a n-dimensional cube using python?,"list(itertools.product(list(range(-x, y)), repeat=dim))"
"how can i modify a single character in a string, in python?",print(''.join(a))
convert binary string '010101111' to integer,"int('01010101111', 2)"
a list as a key for pyspark's reductbykey,"rdd.map(lambda k_v: (set(k_v[0]), k_v[1])).groupByKey().collect()"
piton - differences between the items in the list,"[(j - i) for i, j in zip(t[:-1], t[1:])]"
reorder tuple tuple in python,tuple(zip(*t))
taking the results of a bash command and using it in python,os.system('top -d 30 | grep %d > test.txt' % pid)
how to unpack a list dictionary (dictionaries!) and return as grouped tuples?,"[('A', 1, 2), ('B', 3, 4)]"
how can i print the contents of a file.txt in python?,f.close()
remove a specific column in nuppy,"np.delete(a, [1, 3], axis=1)"
django-piston: how can i get app_label + model_name?,instance.__class__.__name__
"histogram in matplotlib, time on the x-axis",ax.xaxis.set_major_formatter(mdates.DateFormatter('%d.%m.%y'))
setting path to firefox binary on windows with selenium webdriver,driver = webdriver.Firefox()
pandas remove column by index,"df = df.ix[:, 0:2]"
rename pandas data frame index,"df.ix['c', '3']"
django - filter query set by charfield value length,MyModel.objects.filter(text__regex='^.{254}.*')
get the keys and items from the dictionary `d` as a list,list(d.items())
how to get each item in a list of lists?,[a for c in Cards for b in c for a in b]
"remove the region from the image using the python, opencv cut","cv2.cvtColor(img, cv2.COLOR_BGR2RGB)"
how to save the plot of pandas foot to a file,fig.savefig('~/Desktop/myplot.pdf')
convert a list of strings to int or float,[(float(i) if '.' in i else int(i)) for i in s]
remove the level of the multi-index pandas,MultiIndex.from_tuples(index_3levels.droplevel('l3').unique())
python: how can i use itertools?,"list(itertools.product(list(range(2)), repeat=3))"
is there a way to divide a string for each nth separator in python?,"print(['-'.join(words[i:i + span]) for i in range(0, len(words), span)])"
pandas subtract a row of dataframe `df2` from dataframe `df`,"pd.DataFrame(df.values - df2.values, columns=df.columns)"
how can i get the dict of the sqlite query?,cur.execute('select 1 as a')
correct code to remove the vowels from the chain in python,""""""""""""".join([l for l in c if l not in vowels])"
compare two columns using pandas,df2 = df.astype(float)
how to create match color matplotlib that treats a value especially?,plt.show()
get the last day of the first month in the year 2000,"(datetime.date(2000, 2, 1) - datetime.timedelta(days=1))"
combining rows in pandas,df.reset_index().groupby('city_id').sum()
pandas + dataframe - select by partial string,df[df['A'].str.contains('hello')]
how to get the complete path of the current file directory in python?,os.path.dirname(os.path.abspath(__file__))
additional empty elements when dividing the string with re.split,"re.findall('\\w+="".*?""', comp)"
how are options selected in a form using python?,form['favorite_cheese'] = ['brie']
get a list of all duplicate items in dataframe `df` using pandas,"pd.concat(g for _, g in df.groupby('ID') if len(g) > 1)"
"how to obtain files in a directory, including all subdirectories","print(os.path.join(dirpath, filename))"
faster way to count the number of occurrences in the python list,"Counter({'1': 6, '2': 4, '7': 3, '10': 2})"
