intent,snippet
how to install ssl certificate in python phantomjs?,"driver = webdriver.PhantomJS(service_args=['--ignore-ssl-errors=true',
    '--ssl-client-certificate-file=C:\tmp\\clientcert.cer',
    '--ssl-client-key-file=C:\tmp\\clientcert.key',
    '--ssl-client-key-passphrase=1111'])
driver.set_window_size(1280, 1024)
driver.get('https://localhost/test/')
driver.save_screenshot('screen.png')
driver.quit()"
django: how can you stop long queries from killing your database?,"exc_type, exc_info, tb = sys.exc_info()"
python smooth time series data,"raise ValueError(""Window is on of 'flat', 'hanning', 'hamming', 'bartlett', 'blackman'"")"
is it possible to generate a diagram of an entire django webapp?,"'django.contrib.sessions', 'django.contrib.sites'
'django.contrib.messages', 'django.contrib.staticfiles', '...'"
how do i read out custom properties in blender with python?,"bad_obj_types = ['CAMERA', 'LAMP', 'ARMATURE']"
how to make arrow that loops in matplotlib?,plt.show()
how to get the system info with python?,"platform.uname()
platform.system()
platform.processor()"
is there a way to use phantomjs in python?,driver.quit()
using two consecutive values from a list in each iteration,"result = result[1:] + (elem,)"
jupyter: write a custom magic that modifies the contents of the cell it's in,"def lmagic(self, line):
    """"""Replace current line with new output""""""
raw_code = 'print(""Hello world!"")'"
looking for a simple opengl (3.2+) python example that uses glfw,t = currT
calling another view in pyramid,"serve(app, host='127.0.0.1', port='5000')"
python how to convert from string.template object to string,"html = Template(fp.read())
fp.close()"
actions triggered by field change in django,"class MyModel(models.Model):
    state = models.IntegerField()
previous_state = None"
request from different country ip,"request.add_header('Accept',
    'text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8')
opener = urllib.request.build_opener(proxies)
urllib.request.install_opener(opener)
r = urllib.request.urlopen(request, timeout=15)
html = r.read()"
how to unit test a function that uses popen?,"with mock.patch.object(subprocess, 'Popen') as mocked_popen:
    mocked_popen.return_value.communicate.return_value = some_fake_result"
slice assignment with a string in a list,L1[0:1] = ['cake']
how do i find the iloc of a row in pandas dataframe?,(df == window_stop_row).all(axis=1)
swapping the dimensions of a numpy array,"A = np.random.random((2, 4, 3, 5))"
opencv: converting from numpy to iplimage in python,"bitmap = cv.CreateImageHeader((source.shape[1], source.shape[0]), cv.
    IPL_DEPTH_8U, 3)
cv.SetData(bitmap, source.tostring(), source.dtype.itemsize * 3 * source.
    shape[1])"
how to print between last and second-to-last lines in console?,"print('\rpart 2')
print(1)"
labeling boxplot in seaborn with median value,"sns.set_style('whitegrid')
tips = sns.load_dataset('tips')
ax = sns.boxplot(x='day', y='total_bill', data=tips)
medians = tips.groupby(['day'])['total_bill'].median().values"
case-insensitive string startswith in python,"""""""ch0 = s[0]; ch1 = s[1]; ch0 == 'h' or ch0 == 'H' and ch1 == 'e' or ch1 == 'E'"""""""
python format tabular output,"def print_table(table):
    col_width = [max(len(x) for x in col) for col in zip(*table)]
for line in table:
    print('| ' + ' | '.join('{:{}}'.format(x, col_width[i]) for i, x in
        enumerate(line)) + ' |')"
python: a complete list of modules,list(sys.modules.keys())
python/numpy - cross product of matching rows in two arrays,"a = np.random.random((20, 3))
b = np.random.random((20, 3))"
properly designing a multiprocessing.manager custom object,t.daemon = True
remove \n or \t from a given string,"s = 'abc \nefg'
s = re.sub('\\s+', '', s)"
django check for any exists for a query,"if scorm.objects.filter(Header__id=qp.id).exists():
    pass"
how to use bcrypt to encrypt passwords in django,"print('The password is valid, but the account has been disabled!')"
pandas dataframe groupby two columns and get counts,"df['COUNTER'] = 1
group_data = df.groupby(['Alphabet', 'Words'])['COUNTER'].sum()"
save a pandas.series histogram plot to file,ax = s.hist()
creating a dictionary with list of lists in python,"with open('/tmp/spam.txt') as f:
    for line in f:
        parts = line.strip().split()
d[parts[0]] += parts[1:]"
display image with a zoom = 1 with matplotlib imshow() (how to?),"fig = plt.figure(figsize=figsize, dpi=dpi)"
a list > a list of lists,"b = [list(x[1]) for x in itertools.groupby(a, '---'.__eq__) if not x[0]]"
how would i access variables from one class to another?,object2 = ClassB(object1)
ggplot multiple plots in one object,"data = pd.melt(df, id_vars=['date'])
plt = ggplot(data, aes(x='date', y='value', color='variable', group='variable')
    ) + scale_x_date(labels=date_format('%y-%m-%d'), limits=(data.date.min(
    ) - dt.timedelta(2), data.date.max() + dt.timedelta(2))) + geom_line(
    ) + facet_grid('variable', scales='free_y')
plt.show()"
how to detect if python script is being run as a background process,"def main():
    pass"
django - rebuild a query string without one of the variables,q = QueryDict('a=2&b=4&c=test')
adding an application to hosted django project,cwd = os.getcwd()
increasing efficiency of barycentric coordinate calculation in python,"b = secondCornerUW
c = thirdCornerUW
xleft = min(ax, bx, cx)
xright = max(ax, bx, cx)
ytop = min(ay, by, cy)
ybottom = max(ay, by, cy)
barytransform = np.linalg.inv([[ax, bx, cx], [ay, by, cy], [1, 1, 1]])
grid = np.mgrid[xleft:xright, ytop:ybottom].reshape(2, -1)
grid = np.vstack((grid, np.ones((1, grid.shape[1]))))
barycoords = np.dot(barytransform, grid)
barycoords = barycoords[:, (np.all(barycoords >= 0, axis=0))]"
write data to disk in python as a background process,"if __name__ == '__main__':
    pool = mp.Pool()"
pandas: sum dataframe rows for given columns,"df['e'] = df.sum(axis=1)
df"
how can i create new rows in a pandas data frame containing the words in a string of an existing row?,"df = pd.DataFrame({'strings': ['the dog', 'lazy dog', 'The fox jump'],
    'value': ['a', 'b', 'c']})
w = df.strings.str.split()
c = w.map(len)
idx = np.repeat(c.index, c.values)
words = list(itertools.chain.from_iterable(w.values))
s = pd.Series(words, index=idx)
s.name = 'words'
print(df.join(s))"
installing a pip package from within a jupyter notebook not working,"g = geocoder.google('Mountain View, CA')
g.latlng
[37.3860517, -122.0838511]"
multiprocessing ioerror: bad message length,"pool = multiprocessing.Pool(4)
pool.imap(func, images)
pool.close()"
in python how do i use list comprehensions to iterate through a list of lists?,"coord_list = [[(x[0][0], x[0][1], x[1]) for x in zip(dotted_array, s)] for
    s in list_of_signs]
coord_list"
how to do dependency injection python-way?,from subprocess import Popen
django: how to do get_or_create() in a threadsafe way?,"slug = models.SlugField(max_length=255)
name = models.CharField(max_length=255)


class Meta:
    unique_together = 'prefix', 'slug'"
use a class in the context of a different module,"if hasattr(cls, name):
    attr = getattr(cls, name)"
how to use python regex to replace using captured group?,p = re.compile('blue (?P<animal>dog|cat)')
"saving stdout from subprocess.popen to file, plus writing more stuff to the file",logfile.flush()
how to store variables/preferences in python for later use,config = ConfigParser.ConfigParser()
open file and with statement in python,Inside
converting png32 to png8 with pil while preserving transparency,"im.save('logo_py.png', transparency=0)"
print latex-formula with python,"plt.text(0.5, 0.5, '$%s$' % a)"
python - how can i use generators more succinctly?,"def __iter__(self):
    pass"
forcing to make floating point calculations,print(1 / 3)
how can i rotate this list of lists with python,"['.', '0', '0', '0', '0', '0', '0', '0', '.'],
['.', '.', '0', '0', '0', '0', '0', '.', '.'],"
simple der cert parsing in python,print('----')
"convert pandas dataframe to numpy array, preserving index","df.to_records().view([('ID', '<i8'), ('A', '<f8'), ('B', '<f8'), ('C', '<f8')])"
using python tuples as vectors,"def __init__(self, x, y):
    pass"
how to write a python module?,"import hello
hello.helloworld()"
splitting a list inside a pandas dataframe,"df_new.columns = ['date', 'ts']"
cartesian projection issue in a fits image through pyfits / astropy,header['CRVAL2'] = 0.0
ajax for updating flask template after data goes from link action or form to mongodb collection,"@app.route('/vote_up/<this_record>')
def vote_up(this_record):
    if already_voted_for(this_record):
        pass"
convert timestamp since epoch to datetime.datetime,import time
most efficient property to hash for numpy array,hashed_array = (base * array).sum()
"normalizing unicode text to filenames, etc. in python","slugify('My International Text: \xe5\xe4\xf6', delim='_')"
plone: reacting to object removal,"fctool = getToolByName(context, 'portal_form_controller')"
python max length of j-th item across sublists of a list,"for j in range(3):
    pass"
creating a dictionary from a csv file,reader = csv.reader(open('test.csv'))
unique lists from a list,"for x in a:
    b[x].append(x)
list(b.values())"
unpickling classes from python 3 in python 2,"def find_class(self, module, name):
    if module in REVERSE_MAPPING:
        module = REVERSE_MAPPING[module]
__import__(module)
mod = sys.modules[module]
klass = getattr(mod, name)
return klass

def loads(str):
    file = pickle.StringIO(str)
return Python_3_Unpickler(file).load()"
pythonic way of comparing all adjacent elements in a list,A = [(A[i + 1] + A[i]) for i in range(len(A) - 1)]
calculating power for decimals in python,y = Decimal('10') ** (x - deci_x + Decimal(str(n)) - Decimal('1'))
"is there a tool to check what names i have used from a ""wildly"" imported module?","'logical_not', 'average', 'partition', 'nbytes', 'exp', 'sum', 'dot'"
decorator changing function status from method to function,"print(ismethod)
return f(*args, **kwargs)
return detect

@decorate
def foo():
    pass


class bar(object):
    pass"
most elegant approach for writing json data to a relational database using django models?,"""""""Specialized text field that holds JSON in the database, which is represented within Python as (usually) a dictionary."""""""
unauthorized to write to mongodb,_MONGODB_USER = 'dbexample'
scipy interpolation on a numpy array,"z = np.array([[3.6, 6.5, 9.1, 11.5, 13.8], [3.9, 7.3, 10.0, 13.1, 15.9], [
    4.5, 9.2, 12.2, 14.8, 18.2]])
ny, nx = z.shape"
python convert prediction result into one hot,return [int(item == max_val) for item in my_list]
activate a python virtual environment using activate_this.py in a fabfile on windows,activate_this = '/path/to/env/bin/activate_this.py'
using array to generate random text,"0.32793, 0.38483, 0.38577, 0.39278, 0.42999, 0.45023, 0.50728, 0.56756
0.58256, 0.58391, 0.62924, 0.68509, 0.7616, 0.78481, 0.79229, 0.81161"
top k columns with values in pandas dataframe for every row,print(df)
request uac elevation from within a python script?,return False
how to add an extra column to an numpy array,"array([1.0, 0.0, 0.0, 1.0, 2.0, 3.0, 0.0, 1.0, 0.0])"
tensorflow: how to save/restore a model? (python),"tf.add_to_collection('vars', w2)"
how to get centroids from scipy's hierarchical agglomerative clustering?,"for clno in centroids:
    centroids[clno] /= float(lens[clno])"
how to stream the last few lines of a file in django?,"class TailHandler(WebSocketHandler):
    pass"
how work pre-defined descriptors in functions?,"class C(object):
    pass

def a(s):
    return 12
a = a.__get__(C)"
conditional statement in a one line lambda function in python?,"if T > 200:
    return 200 * exp(-T)"
can i restore a function whose closure contains cycles in python?,global lfunctions
how to sort only few values inside a list in python,"nums = [3, 30, 31, 32, 33, 34, 300, 256, 5, 9]
sorted(nums, key=lambda x: str(x).ljust(10, ' '), reverse=True)"
unlucky number 13,"if n == 0:
    cache[n] = 1
return cache[n]"
how to find the importance of the features for a logistic regression model?,x3 = 0.5 * np.random.randn(100)
running scrapy spiders in a celery task,from celery import task
self-join with pandas,d
iterate through class members in order of their declaration,from collections import namedtuple
django: friendlier header for stackedinline for auto generated through model?,model = MyThrough
finding anonymous enums with libclang,return conf.lib.clang_Cursor_isAnonymous(self)
configure mac os x midi programatically,"vmidi_out = rtmidi.MidiOut()
vmidi_out.open_virtual_port('My Virtual MIDI Output Port')"
skip ending rows containing string while reading a txt file with numpy to generate a numerical array,url = 'http://www.cdc.noaa.gov/Correlation/amon.us.long.data'
how to repeat pandas data frame?,"x.append([x] * 5, ignore_index=True)
x.append([x] * 5)"
python 3 and requests with a progressbar,"pbar.update(self.bytes)
pbar.finish()"
how can i retrieve the page title of a webpage using python?,br.open('http://www.google.com/')
having options in argparse with a dash,"args = parser.parse_args()
print(args)"
how can i create a type hint that my returned list contains strings?,matched += 1
"create new list by taking first item from first list, and last item from second list","c = [value for pair in zip(a, b[::-1]) for value in pair]"
how to use dynamic foreignkey in django?,title = models.CharField(max_length=100)
textmining graph sentences in python,"edges = [(i, j, dice_coefficient(x, y)) for i, x in enumerate(sentences) for
    j, y in enumerate(sentences) if i < j]"
how do i use pylons (paste) webtest with multiple checkboxes with the same name?,assert 'something' in response
python : how to pretty print html into a file,"from BeautifulSoup import BeautifulSoup as bs
root = lh.tostring(sliderRoot)
soup = bs(root)
prettyHTML = soup.prettify()"
python using beautiful soup for html processing on specific content,x = data.find('Ingredients</h3>')
is there a python function to determine which quarter of the year a date is in?,df['quarter'] = df['date'].dt.quarter
how to make a set of lists,"print([ele for ind, ele in enumerate(i) if ele not in i[:ind]])
[[1, 2, 3], [2, 4, 5]]"
large scale clustering library possibly with python bindings,"import milk
import numpy as np"
edit text file using python,"import fileinput, sys"
python regex get string between two substrings,"match = re.findall(""api\\('(.*?)'"", string)
print(match)"
efficiently replace multi-line list strings with single_line list string,"return re.sub('\\s+', ' ', m.group().strip())"
double increment loop in python,"X is 1, Y is 3"
library/tool for drawing ternary/triangle plots,ax.set_frame_on(False)
how to parse a rfc 2822 date/time into a python datetime?,"print(parsedate_tz('Fri, 15 May 2009 17:58:28 +0700'))"
in python how can i declare a dynamic array,from array import array
how to find row of 2d array in 3d numpy array,"pattern = np.ascontiguousarray([[0, 3] * 10, [3, 0] * 10])"
comparing two large lists in python,"from functools import reduce
search_data = [['list', 'of', '150k', 'words'], ['another', 'list', 'of',
    '150k', 'words'], ['yet', 'another', 'list', 'of', '150k', 'words']]
search_words = ['four', 'hundred', 'words', 'to', 'search', 'for']

def word_finder(words_to_find):
    lookfor = set(word.lower() for word in words_to_find)

def get_word_count(text):
    return Counter(word for word in (wd.lower() for wd in text) if word in
        lookfor)
return get_word_count

def get_words_in_common(counters):
    return reduce(operator.and_, (set(c) for c in counters))

def main():
    wordcount = word_finder(search_words)
counters = [wordcount(wordlst) for wordlst in search_data]
common_to_all = get_words_in_common(counters)
print(common_to_all)
if __name__ == '__main__':
    main()"
python: how to get attribute of attribute of an object with getattr?,"from functools import reduce
reduce(lambda obj, attr: getattr(obj, attr, None), ('id', 'num'), myobject)"
url safe base64 in objective-c,"xx, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14"
getting first row from sqlalchemy,print(result)
python: convert defaultdict to dict,data['good']['day'] = True
python optimize.leastsq: fitting a circle to 3d set of points,"point = [xF, yF, zF]"
pythonic way to combine for loop and if statement,"set([0, 9, 4, 6, 7])"
programmatically generate thumbnail cap for small video,"full = None
for y in range(3):
    for x in range(3):
        img = Image.open('frame%i.png' % (y * 3 + x))
w, h = img.size
if full is None:
    full = Image.new('RGB', (w * 3, h * 3))
full.paste(img, (x * w, y * h))
full.save('thumbs.png')"
python: can a subclass of float take extra arguments in its constructor?,"class Foo(float):

    def __new__(self, value, extra):
        return float.__new__(self, value)

def __init__(self, value, extra):
    float.__init__(value)
self.extra = extra
foo = Foo(1, 2)
print(str(foo))
1.0
print(str(foo.extra))
2"
numpy tofile() with very large arrays saves all zeros,"import mmap
with open('r.data') as f:
    m = mmap.mmap(f.fileno(), 0, mmap.MAP_SHARED, mmap.PROT_READ)
r = np.frombuffer(m, dtype='int64')
r = r.reshape(shape)"
table creation with csv data,"print(('|{:<{i}}' * ln + '|').format(i=mx_len, *row1))"
how can i return a text fragment from an xpath function?,res = transform(doc)
nginx with flask and memcached returns some garbled characters,rv = cache.get('request:/')
establishing highest score for a set of combinations,"itertools.combinations([1, 2, 3, 4], 2)
list(itertools.combinations([1, 2, 3, 4], 2))"
i'm trying to figure out how to use dbus with pidgin,main_loop = DBusGMainLoop()
create django admin intermediate page,from django.contrib import admin
how can i merge two dataframes with 'wildcards'?,wildcards = lookup[lookup['b'] == '*']
abort execution of a module in python,main()
pgp-signing multipart e-mails with python,print('Warning: failed to sign the message!')
convert string to json using python,"d = json.loads(j)
print(d['glossary']['title'])"
numpy: efficiently reading a large array,"a = a.reshape((n, m), order='FORTRAN')"
how to make an abstract haystack searchindex class,"class Meta:
    pass"
how are arguments passed to a function through __getattr__,person.make_statement
execute two process in parallel in python,"for job in jobs:
    p = Popen(shlex.split(job), stdout=PIPE)
t = Timer(10, lambda p=p: p.terminate())
t.start()
timers.append(t)
processes.append(p)
for t in timers:
    t.join()
stdout, stderr = processes[0].communicate()
stdout, stderr = processes[1].communicate()
print(datetime.datetime.now())"
integrating a multidimensional integral in scipy,"gamma = random.uniform(0.0, 2.0 * math.pi)"
"in flask, set a cookie and then re-direct user","response.set_cookie('session_id', s.session_id)
return response"
get locals from calling namespace in python,x.c = 1
python: how do i randomly select a value from a dictionary key?,print(val)
xml to/from a python dictionary,"dappend(new_dict, k, child[k])"
how do i serve image content-types with python basehttpserverrequesthandler do_get method?,"f = open(curdir + sep + self.path, 'rb')"
how can you make an adjacency matrix which would emulate a 2d grid,"M = matrix(n, n)
for r in range(rows):
    for c in range(cols):
        i = r * cols + c
if c > 0:
    M[i - 1, i] = M[i, i - 1] = 1
if r > 0:
    M[i - cols, i] = M[i, i - cols] = 1"
is python bad at xml?,return '/'.join(tags)
how does exec work with locals?,print(x.foo)
how to get filename from content-disposition in headers,"response = browser.open('http://example.com/your/url')
info = response.info()"
comprehension for flattening a sequence of sequences?,"seq = '012345'
swapped_pairs = zip(seq[1::2], seq[::2])
"""""""""""".join(item for pair in swapped_pairs for item in pair)"
python: is there a built in package to parse html into dom,doc = parseString(html_string)
grabbing ip addresses from a file and counting the occurences,"with open(file) as file:
    for ip in file:
        ip_data = re.findall(
            '(?:[\\d]{1,3})\\.(?:[\\d]{1,3})\\.(?:[\\d]{1,3})\\.(?:[\\d]{1,3})'
            , ip)
for i in ip_data:
    pass"
how to access the meta attributes of a superclass in python?,"class Meta:
    authentication = MyCustomAuthentication()"
flattening a list of dicts of lists of dicts (etc) of unknown depth in python (nightmarish json structure),"for i, item in enumerate(structure):
    flatten(item, '%d' % i, path + '_' + key, flattened)"
defining virtual fields in peewee,"@hybrid_property
def complicated_property(self):
    if 17 <= self.a <= 173:
        return a_complicated_math_function(self.a + self.b)
return another_complicated_math_function(self.a * self.b ** 2)

@complicated_property.expression
def complicated_property(cls):
    return case(None, (cls.a.between(17, 173), fn.math(fn.more_math(cls.a, 
        1.23))), default=fn.another_complicated_math(cls.a))"
fast string within list searching,"['scorch', 'scorching', 'dump', 'dumpster', 'dumpsters']"
how can i unshorten a url?,"h.request('HEAD', parsed.path)"
exceeding the size of lists in python,pass
writing a gimp python script,"from subprocess import check_output
cmd = '(python-flip RUN-NONINTERACTIVE ""/tmp/test.jpg"")'
output = check_output(['/usr/bin/gimp', '-i', '-b', cmd, '-b', '(gimp-quit 0)']
    )
print(output)"
"replace items in list, python","r = []
for s in l:
    t = s.split('_')
r.append('_'.join(t[:-2]) + '_%s_%s' % (m, y))"
how to add element in python to the end of list using list.insert?,a
how to handle empty values in config files with configparser?,"value = parser.get(section, option)"
drawing semi-transparent polygons in pil,"back.paste(poly, poly_offset, mask=poly)"
remove duplicate rows from a large file in python,"output = open(outfile, 'wb')"
how to compress a string in python to store it in redis?,"compressedString = zlib.compress(originalString, 9)
decompressedString = zlib.decompress(compressedString)"
'instancemethod' object has no attribute '__getitem__' with class variables,"self.WaitTime = 1.0 / (self.stepNum * self.coilNum) * speed
for pin in range(0, 4):
    pass"
delete all objects in a list,"del mylist
print(b)"
python: finding average of a nested list,"import numpy as np
a = [[1, 2, 3], [4, 5, 6], [7, 8, 9]]"
can i implement custom indentation for pretty-printing in python’s json module?,"obj = {'layer1': {'layer2': {'layer3_2': 'string', 'layer3_1': NoIndent([{
    'y': 7, 'x': 1}, {'y': 4, 'x': 0}, {'y': 3, 'x': 5}, {'y': 9, 'x': 6}])}}}
print(json.dumps(obj, indent=2, cls=NoIndentEncoder))"
how can i extract the call graph of a function from python source files?,"import traceback
traceback.print_stack()"
"iterating through a list removing items, some items are not removed","list1 = [1, 2, 3, 4, 5, 6]"
numpy max slow when applied to list of arrays,"np.random.seed(0)
N, M = 1000, 1000"
slick way to reverse the (binary) digits of a number in python?,"int(''.join(bin(x)[:1:-1]), 2)"
how to get indices of n maximum values in a numpy array?,"ind = np.argpartition(a, -4)[-4:]
ind
a[ind]"
python json decode getting wrong value,"decoder = JSONDecoder(object_hook=hook)
decoder.decode(s)"
how to catch an importerror non-recursively?,"try:
    import user
except ImportError:
    if sys.exc_info()[2].tb_next:
        pass"
pandas set format for single dataframe,"from functools import partial
df.to_string = partial(df.to_string, float_format='${:,.2f}'.format)"
django store uploaded file in s3,"AWS_S3_SECURE_URLS = False
AWS_QUERYSTRING_AUTH = False
AWS_S3_ACCESS_KEY_ID = 'KEY'
AWS_S3_SECRET_ACCESS_KEY = 'KEY'
AWS_STORAGE_BUCKET_NAME = 'name.media'"
pandas groupby apply all,"test_df = pd.DataFrame({'name': ['Jack', 'Jill', 'John', 'Jack', 'Jill'],
    'date': ['2016-08-08', '2016-08-08', '2016-08-07', '2016-08-08',
    '2016-08-08'], 'amount': [1000.0, 1500.0, 2000.0, 2000.0, 3000.0],
    'return_amount': [5000.0, 2000.0, 3000.0, 0.0, 0.0], 'return_date': [
    '2017-08-08', '2017-08-08', '2017-08-07', '', '2017-08-08']})
grouped = test_df.groupby('name')"
efficient way to count the element in a dictionary in python using a loop,mydict[index] = +1
looping through df dictionary in order to merge df's in pandas,"B = pd.DataFrame([[1, 1], [2, 2], [3, 3]], columns=['A', 'B'], index=[1, 2, 3])
C = pd.DataFrame([[1, 2], [1, 2], [1, 2]], columns=['A', 'B'], index=[1, 2, 3])
df_all = {'df1': A, 'df2': B, 'df3': C}"
apply a method to an object of another class,print(self.a)
how to strip source from distutils binary distributions?,"for file in files:
    if file.endswith('.py'):
        pass"
spnego (kerberos token generation/validation) for sso using python,"spnegoMechOid = gssapi.oids.OID.mech_from_string('1.3.6.1.5.5.2')
ctx = gssapi.InitContext(service_name, mech_type=spnegoMechOid)"
loop for each item in a list,"x = []
for i in mydict['item1']:
    pass"
in-place quicksort in python,"while j <= end:
    if array[j] <= pivot:
        array[j], array[i] = array[i], array[j]
i += 1
j += 1
array[start], array[i - 1] = array[i - 1], array[start]
return i - 1

def quicksort(array, start=0, end=None):
    if end is None:
        end = len(array) - 1
if end - start < 1:
    return
idx_pivot = random.randint(start, end)
i = sub_partition(array, start, end, idx_pivot)
quicksort(array, start, i - 1)
quicksort(array, i + 1, end)"
pandas value_counts() for loop fails as lambda,"ratio = lambda x: x.value_counts(normalize=True)
output_lambda = df.apply(lambda x: [x.value_counts().to_dict()]).apply(lambda
    x: x[0]).to_dict()"
scons setup for hierarchical source but single target,"program = env.Program('myprog', objects)"
dynamically create an enum with custom values in python?,"v = {'foo': 42, 'bar': 24}


class e(Enum):
    pass
for key, val in list(v.items()):
    pass"
convert weird python date format to readable date,time_string = '/Date(1409522400000+0200)/'
automatic detection of display availability with matplotlib,import matplotlib.pyplot as plt
how do i merge a list of dicts into a single dict?,"a = [{'a': 1}, {'b': 2}, {'c': 1}, {'d': 2}]
dict(ChainMap(*a))"
how do you create a daemon in python?,"def run(self):
    pass"
how are basic data types (strings and integers) implemented in python and perl,stmt = 'x = s[{0}] + s[{1}] + s[{2}]'
python extract pattern matches,"p = re.compile('name (.*) is valid', re.flags)
print(p.match(s).groups())"
reset color cycle in matplotlib,import matplotlib.pyplot as plt
ignore a specific test using django,import unittest
how to combine two list containing dictionary with similar keys?,"result = [{key: (d1.get(key, 0) + d2.get(key, 0)) for key in set(d1.keys()) |
    set(d2.keys())} for d1, d2 in zip(var1, var2)]
print(result)
[{'a': 4, 'b': 4}, {'h': 8, 'c': 3, 'd': 10}, {'c': 7, 'e': 8, 'd': 10}]"
configuring django,"import os
if __name__ == '__main__':
    pass"
customize x-axis in matplotlib,"plt.xticks(ticks, labels)
plt.xlabel('Hours')
plt.show()"
how can i parse a c header file with perl?,print('};\n')
"call lambdify in a loop, avoid explicitly call",f(*[newdict[k] for k in 'abc'])
how to convert a nested list into a one-dimensional list in python?,"lis = [1, [2, 2, 2], 4]"
